Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num
CASC,StatusActive,5.3,Success,China,Xichang Satellite Launch Center,2020,5,29,20,Long March 11,XJS-G and XJS-H,China,3,1
Virgin Orbit,StatusActive,12.0,Failure,USA,California,2020,5,25,19,LauncherOne,Demo Flight,United States,0,1
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2020,5,22,7,Soyuz 2.1b/Fregat-M,Cosmos 2546,Russia,3,1
MHI,StatusRetired,112.5,Success,Japan,Tanegashima Space Center,2020,5,20,17,H-IIB,HTV-9,Japan,3,0
ULA,StatusActive,120.0,Success,USA,Florida,2020,5,17,13,Atlas V 501,OTV-6 (USSF-7),United States,3,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2020,5,12,1,Kuaizhou 1A,Xingyun-2 01 (Wuhan) & 02,China,3,1
CASC,StatusActive,30.8,Success,China,Wenchang Satellite Launch Center,2020,5,5,10,Long March 5B,Test Flight (New Crew Capsule),China,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,4,25,1,Soyuz 2.1a,Progress MS-14,Kazakhstan,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,4,22,19,Falcon 9 Block 5,Starlink V1 L6,United States,3,1
IRGC,StatusActive,48.5,Success,Shahrud Missile Test Site,Launch Plateform,2020,4,22,3,Qased,Noor 1,Iran,3,1
CASC,StatusActive,29.15,Failure,China,Xichang Satellite Launch Center,2020,4,9,11,Long March 3B/E,Nusantara Dua,China,0,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,4,9,8,Soyuz 2.1a,Soyuz MS-16,Kazakhstan,3,1
ULA,StatusActive,153.0,Success,USA,Florida,2020,3,26,20,Atlas V 551,AEHF 6,United States,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2020,3,24,3,Long March 2C,Yaogan-30-06,China,3,1
Arianespace,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,3,21,17,Soyuz 2.1b/Fregat,OneWeb #3,Kazakhstan,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,3,18,12,Falcon 9 Block 5,Starlink V1 L5,United States,3,1
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2020,3,16,18,Soyuz 2.1b/Fregat-M,Cosmos 2545,Russia,3,1
CASC,StatusActive,30.8,Failure,China,Wenchang Satellite Launch Center,2020,3,16,13,Long March 7A,XJY-6,China,0,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2020,3,9,11,Long March 3B/E,Beidou-3 G2,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,3,7,4,Falcon 9 Block 5,CRS-20,United States,3,1
VKS RF,StatusActive,48.5,Success,Russia,Plesetsk Cosmodrome,2020,2,20,8,Soyuz 2.1a/Fregat-M,Meridian-M n†­19L,Russia,3,1
CASC,StatusActive,29.75,Success,China,Xichang Satellite Launch Center,2020,2,19,21,Long March 2D,XJS-C to F,China,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2020,2,18,22,Ariane 5 ECA,JCSAT-17 & GEO-KOMPSAT 2B,France,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,2,17,15,Falcon 9 Block 5,Starlink V1 L4,United States,3,1
Northrop,StatusActive,85.0,Success,USA,Virginia,2020,2,15,20,Antares 230+,CRS NG-13,United States,3,1
ULA,StatusActive,115.0,Success,USA,Florida,2020,2,10,4,Atlas V 411,Solar Orbiter,United States,3,1
ISA,StatusActive,48.5,Failure,Iran,Semnan Space Center,2020,2,9,15,Simorgh,Zafar 1,Iran,0,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2020,2,9,1,H-IIA 202,IGS-Optical 7,Japan,3,1
Arianespace,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2020,2,6,21,Soyuz 2.1b/Fregat,OneWeb #2,Kazakhstan,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2020,1,31,2,Electron/Curie,Birds of a Feather / NROL-151,New Zealand,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,1,29,14,Falcon 9 Block 5,Starlink V1 L3,United States,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,1,19,15,Falcon 9 Block 5,Crew Dragon Inflight Abort Test,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2020,1,16,21,Ariane 5 ECA,Eutelsat Konnect BB4A & GSAT-30,France,3,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2020,1,16,3,Kuaizhou 1A,Yinhe-1,China,3,1
CASC,StatusActive,29.75,Success,China,Taiyuan Satellite Launch Center,2020,1,15,2,Long March 2D,Jilin-1 Wideband 01 & ??uSat-7/8,China,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2020,1,7,15,Long March 3B/E,TJSW-5,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2020,1,7,2,Falcon 9 Block 5,Starlink V1 L2,United States,3,1
CASC,StatusActive,30.8,Success,China,Wenchang Satellite Launch Center,2019,12,27,12,Long March 5,Shijian-20,China,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2019,12,26,23,Rokot/Briz KM,"Gonets-M ???24, 25, 26 [block-15] & Blits-M1",Russia,3,0
Roscosmos,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2019,12,24,12,Proton-M/DM-3,Elektro-L n†­3,Kazakhstan,3,1
ULA,StatusActive,123.0,Success,USA,Florida,2019,12,20,11,Atlas V N22,Starliner OFT,United States,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2019,12,20,3,Long March 4B,"CBERS-4A, ETRSS-1 & Others",China,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,12,18,8,Soyuz ST-A/Fregat-M,"CSG-1, CHEOPS & Others",France,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,12,17,0,Falcon 9 Block 5,JCSAT-18 / Kacific-1,United States,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2019,12,16,7,Long March 3B/YZ-1,BeiDou-3 M19 & M20,China,3,1
Blue Origin,StatusActive,48.5,Success,USA,Texas,2019,12,11,17,New Shepard,NS-12,United States,3,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2019,12,11,9,PSLV-QL,RISAT 2BR1,India,3,1
VKS RF,StatusActive,48.5,Success,Russia,Plesetsk Cosmodrome,2019,12,11,8,Soyuz 2.1b/Fregat,Cosmos 2544,Russia,3,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2019,12,7,8,Kuaizhou 1A,HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,China,3,1
ExPace,StatusActive,28.3,Success,China,Taiyuan Satellite Launch Center,2019,12,7,2,Kuaizhou 1A,Jilin-1 Gaofen-02B,China,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,12,6,9,Soyuz 2.1a,Progress MS-13 (74P),Kazakhstan,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2019,12,6,8,Electron/Curie,Running Out Of Fingers,New Zealand,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,12,5,17,Falcon 9 Block 5,CRS-19,United States,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2019,11,27,23,Long March 4C,Gaofen-12,China,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2019,11,27,3,PSLV-XL,Cartosat-3 & Rideshares,India,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,11,26,21,Ariane 5 ECA,Inmarsat 5 F5 & TIBA-1,France,3,1
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2019,11,25,17,Soyuz 2.1v/Volga,Cosmos 2542 & 2543,Russia,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2019,11,23,0,Long March 3B/YZ-1,BeiDou-3 M21 & M22,China,3,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2019,11,17,10,Kuaizhou 1A,"KL-Alpha A, KL-Alpha B",China,3,1
CASC,StatusActive,30.8,Success,China,Taiyuan Satellite Launch Center,2019,11,13,6,Long March 6,Ningxia-1 (x5),China,3,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2019,11,13,3,Kuaizhou 1A,Jilin 1-02A,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,11,11,14,Falcon 9 Block 5,Starlink V1 L1,United States,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,11,4,17,Long March 3B/E,Beidou-3 IGSO-3,China,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2019,11,3,3,Long March 4B,Gaofen-7,China,3,1
Northrop,StatusActive,85.0,Success,USA,Virginia,2019,11,2,13,Antares 230+,CRS NG-12,United States,3,1
Exos,StatusActive,48.5,Failure,New Mexico,Spaceport America,2019,10,26,17,SARGE,Launch 4,United States,0,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,10,17,15,Long March 3B/E,TJSW-4,China,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2019,10,17,1,Electron/Curie,As The Crow Flies,New Zealand,3,1
Northrop,StatusActive,40.0,Success,USA,Florida,2019,10,11,1,Pegasus XL,ICON,United States,3,1
ILS,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2019,10,9,10,Proton-M/Briz-M,Eutelsat 5 West B & MEV-1,Kazakhstan,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2019,10,4,18,Long March 4C,Gaofen 10 (Replacement),China,3,1
VKS RF,StatusActive,48.5,Success,Russia,Plesetsk Cosmodrome,2019,9,26,7,Soyuz 2.1b/Fregat,Cosmos 2541,Russia,3,1
Roscosmos,StatusRetired,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,9,25,13,Soyuz FG,Soyuz MS-15 (61S),Kazakhstan,3,0
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2019,9,25,0,Long March 2D,Yunhai-1-02,China,3,1
MHI,StatusRetired,112.5,Success,Japan,Tanegashima Space Center,2019,9,24,16,H-IIB,HTV-8,Japan,3,0
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2019,9,22,21,Long March 3B/YZ-1,BeiDou-3 M23 & M24,China,3,1
CASC,StatusActive,5.3,Success,China,Jiuquan Satellite Launch Center,2019,9,19,6,Long March 11,Zhuhai-1 Group 03,China,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2019,9,12,3,Long March 4B,"Ziyuan-2D, BNU-1 & Taurus-1",China,3,1
ExPace,StatusActive,28.3,Success,China,Jiuquan Satellite Launch Center,2019,8,30,23,Kuaizhou 1A,KX-09 & Others,China,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2019,8,30,14,Rokot/Briz KM,Cosmos 2540,Russia,3,0
ISA,StatusActive,48.5,Prelaunch Failure,Iran,Semnan Space Center,2019,,,,Safir-1B+,Nahid-1,Iran,1,1
ULA,StatusRetired,164.0,Success,USA,Florida,2019,8,22,13,"Delta IV Medium+ (4,2)",GPS III SV02,United States,3,0
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,8,22,3,Soyuz 2.1a,Soyuz MS-14 (60S),Kazakhstan,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2019,8,19,12,Electron/Curie,"Look Ma, No Hands!",New Zealand,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,8,19,12,Long March 3B/E,ChinaSat 18,China,3,1
CASC,StatusActive,7.5,Success,China,Jiuquan Satellite Launch Center,2019,8,17,4,Jielong-1,Tianqi-4 & Others,China,3,1
ULA,StatusActive,153.0,Success,USA,Florida,2019,8,8,10,Atlas V 551,AEHF 5,United States,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,8,6,23,Falcon 9 Block 5,AMOS-17,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,8,6,19,Ariane 5 ECA,EDRS-C/HYLAS 3 & Intelsat 39,France,3,1
Roscosmos,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2019,8,5,21,Proton-M/Briz-M,Cosmos 2539,Kazakhstan,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,7,31,12,Soyuz 2.1a,Progress MS-12,Kazakhstan,3,1
VKS RF,StatusActive,48.5,Success,Russia,Plesetsk Cosmodrome,2019,7,30,5,Soyuz 2.1a/Fregat-M,Meridian-M n†­18L,Russia,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2019,7,26,3,Long March 2C,Yaogan-30-05,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,7,25,22,Falcon 9 Block 5,CRS-18,United States,3,1
i-Space,StatusActive,48.5,Success,China,Jiuquan Satellite Launch Center,2019,7,25,5,Hyperbola-1,CAS-7B & Others,China,3,1
ISRO,StatusActive,62.0,Success,India,Satish Dhawan Space Centre,2019,7,22,9,GSLV Mk III,Chandrayaan-2 lunar mission,India,3,1
Roscosmos,StatusRetired,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,7,20,16,Soyuz FG,Soyuz MS-13 (59S),Kazakhstan,3,0
Roscosmos,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2019,7,13,12,Proton-M/DM-3,Spektr-RG,Kazakhstan,3,1
Arianespace,StatusActive,37.0,Failure,France,French Guiana,2019,7,11,1,Vega,Falcon Eye 1,France,0,1
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2019,7,10,17,Soyuz 2.1v/Volga,Cosmos 2535 to 2538,Russia,3,1
Roscosmos,StatusActive,48.5,Success,Russia,Vostochny Cosmodrome,2019,7,5,5,Soyuz 2.1b/Fregat-M,"Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",Russia,3,1
Exos,StatusActive,48.5,Partial Failure,New Mexico,Spaceport America,2019,6,29,18,SARGE,Launch 3,United States,2,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2019,6,29,4,Electron/Curie,Make it Rain,New Zealand,3,1
SpaceX,StatusActive,90.0,Success,USA,Florida,2019,6,25,6,Falcon Heavy,STP-2,United States,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,6,24,18,Long March 3B/E,Beidou-3 IGSO-2,China,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,6,20,21,Ariane 5 ECA,Eutelsat 7C &  AT&T T-16,France,3,1
SpaceX,StatusActive,50.0,Success,USA,California,2019,6,12,14,Falcon 9 Block 5,RADARSAT Constellation,United States,3,1
CASC,StatusActive,5.3,Success,Yellow Sea,Tai Rui Barge,2019,6,5,4,Long March 11H,Jilin-1 & Others,International Waters,3,1
Roscosmos,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2019,5,30,17,Proton-M/Briz-M,Yamal-601,Kazakhstan,3,1
Roscosmos,StatusActive,48.5,Success,Russia,Plesetsk Cosmodrome,2019,5,27,6,Soyuz 2.1b/Fregat-M,Cosmos 2534,Russia,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,5,24,2,Falcon 9 Block 5,Starlink V0.9,United States,3,1
CASC,StatusActive,64.68,Failure,China,Taiyuan Satellite Launch Center,2019,5,22,22,Long March 4C,Yaogan Weixing-33,China,0,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2019,5,22,0,PSLV-CA,RISAT-2B,India,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2019,5,17,15,Long March 3C/E,Beidou-2 G8,China,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2019,5,5,6,Electron/Curie,That's a Funny Looking Cactus,New Zealand,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,5,4,6,Falcon 9 Block 5,CRS-17,United States,3,1
Blue Origin,StatusActive,48.5,Success,USA,Texas,2019,5,2,13,New Shepard,NS-11,United States,3,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2019,4,29,22,Long March 4B,Tianhui-2 Group 01,China,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,4,20,14,Long March 3B/E,Beidou-3 IGSO-1,China,3,1
Northrop,StatusRetired,85.0,Success,USA,Virginia,2019,4,17,20,Antares 230,CRS NG-11,United States,3,0
SpaceX,StatusActive,90.0,Success,USA,Florida,2019,4,11,22,Falcon Heavy,ArabSat 6A,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,4,4,17,Soyuz ST-B/Fregat-MT,O3b FM17-FM20,France,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,4,4,11,Soyuz 2.1a,Progress MS-11 (72P),Kazakhstan,3,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2019,4,1,3,PSLV-QL,EMISAT & Rideshares,India,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,3,31,15,Long March 3B/E,Tianlian-2,China,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2019,3,28,23,Electron/Curie,Two Thumbs Up,New Zealand,3,1
OneSpace,StatusActive,48.5,Failure,China,Jiuquan Satellite Launch Center,2019,3,27,9,OS-M1,Lingque-1B,China,0,1
Arianespace,StatusActive,37.0,Success,France,French Guiana,2019,3,22,1,Vega,PRISMA,France,3,1
ULA,StatusRetired,123.0,Success,USA,Florida,2019,3,16,0,"Delta IV Medium+ (5,4)",WGS-10,United States,3,0
Roscosmos,StatusRetired,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2019,3,14,19,Soyuz FG,Soyuz MS-12 (58S),Kazakhstan,3,0
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,3,9,16,Long March 3B/E,Zhongxing-6C,China,3,1
Exos,StatusActive,48.5,Partial Failure,New Mexico,Spaceport America,2019,3,2,17,SARGE,Launch 2,United States,2,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,3,2,7,Falcon 9 Block 5,SpaceX Demo-1,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,2,27,21,Soyuz ST-B/Fregat-M,OneWeb #1,France,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2019,2,22,1,Falcon 9 Block 5,Nusantara Satu & Beresheet,United States,3,1
VKS RF,StatusActive,41.8,Success,Kazakhstan,Baikonur Cosmodrome,2019,2,21,16,Soyuz 2.1b/Fregat-M,EgyptSat-A,Kazakhstan,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2019,2,5,21,Ariane 5 ECA,GSAT-31 & Hellas-Sat-4,France,3,1
ISA,StatusActive,48.5,Failure,Iran,Semnan Space Center,2019,,,,Safir-1B+,Dousti,Iran,0,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2019,1,24,18,PSLV-DL,Microsat-R,India,3,1
Blue Origin,StatusActive,48.5,Success,USA,Texas,2019,1,23,15,New Shepard,NS-10,United States,3,1
CASC,StatusActive,5.3,Success,China,Jiuquan Satellite Launch Center,2019,1,21,5,Long March 11,Jilin-1 Hyperspectral & Others,China,3,1
ULA,StatusActive,350.0,Success,USA,California,2019,1,19,19,Delta IV Heavy,NROL-71,United States,3,1
JAXA,StatusActive,39.0,Success,Japan,Uchinoura Space Center,2019,1,18,0,Epsilon PBS,Innovative Satellite Technology Demonstration-1,Japan,3,1
ISA,StatusActive,48.5,Failure,Iran,Semnan Space Center,2019,1,15,0,Simorgh,Payam-e Amirkabir,Iran,0,1
SpaceX,StatusActive,50.0,Success,USA,California,2019,1,11,15,Falcon 9 Block 5,Iridium-8,United States,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2019,1,10,17,Long March 3B/E,Zhongxing-2D (Chinasat-2D),China,3,1
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,2018,12,29,8,Long March 2D/YZ-3,Hongyan-1,China,3,1
Roscosmos,StatusActive,48.5,Success,Russia,Vostochny Cosmodrome,2018,12,27,2,Soyuz 2.1a/Fregat,Kanopus-V No. 5-6 & Rideshares,Russia,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2018,12,24,16,Long March 3C/E,TJS-3,China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2018,12,23,13,Falcon 9 Block 5,GPS III SV01,United States,3,1
CASC,StatusActive,5.3,Success,China,Jiuquan Satellite Launch Center,2018,12,21,23,Long March 11,Hongyun-1,China,3,1
VKS RF,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2018,12,21,0,Proton-M/Briz-M,Blagovest No.13L,Kazakhstan,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2018,12,19,16,Soyuz ST-A/Fregat-M,CSO 1,France,3,1
ISRO,StatusActive,47.0,Success,India,Satish Dhawan Space Centre,2018,12,19,10,GSLV Mk II,GSAT-7A,India,3,1
Rocket Lab,StatusActive,7.5,Success,New Zealand,M?hia Peninsula,2018,12,16,6,Electron/Curie,This one's for Pickering,New Zealand,3,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2018,12,7,18,Long March 3B/E,Chang'e-4,China,3,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2018,12,7,4,Long March 2D,"SaudiSAT 5A, & 5B and Others",China,3,1
SpaceX,StatusActive,50.0,Success,USA,Florida,2018,12,5,18,Falcon 9 Block 5,CRS-16,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2018,12,4,20,Ariane 5 ECA,GSAT-11 & GEO-KOMPSAT 2A,France,3,1
SpaceX,StatusActive,50.0,Success,USA,California,2018,12,3,18,Falcon 9 Block 5,Spaceflight SSO-A,United States,3,1
Roscosmos,StatusRetired,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2018,12,3,11,Soyuz FG,Soyuz MS-11 (57S),Kazakhstan,3,0
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2018,11,30,2,Rokot/Briz KM,Cosmos 2530 to 2532,Russia,3,0
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2018,11,29,4,PSLV-CA,HySIS,India,3,1
Arianespace,StatusActive,37.0,Success,France,French Guiana,2018,11,21,1,Vega,Mohammed VI-B,France,3,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2018,11,19,23,Long March 2D,"Shiyan-6, Jiading-1 (OKW-01), & Others",China,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2018,11,18,18,Long March 3B/YZ-1,BeiDou-3 M17 & M18,China,3,1
Northrop,StatusRetired,85.0,Success,USA,Virginia,2018,11,17,9,Antares 230,CRS NG-10,United States,3,0
Roscosmos,StatusRetired,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2018,11,16,18,Soyuz FG,Progress MS-10 (71P),Kazakhstan,3,0
SpaceX,StatusActive,50.0,Success,USA,Florida,2018,11,15,20,Falcon 9 Block 5,Es'hail 2,United States,3,1
